,,precision at 99%,recall at  at 99%,f1 at  at 99%,precision at 95% ,recall at 95% ,f1 at 95% ,precision at 90%,recall at 90%,f1 at 90%,precision at 80%,recall at 80%,f1 at 80%,precision at 50%,recall at 50%,f1 at 50%,auc
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.001, 1.0, 50)",0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0,0,0,0.131547923
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.1, 0.1, 5)",0.272254932,0.999722825,0.427962624,0.373979448,0.981845059,0.541648084,0.521364072,0.954866725,0.674465273,0.778487211,0.918094886,0.842547058,0.928525178,0.861181688,0.893586425,0.617778191
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.1, 0.1, 50)",0.272254932,0.999722825,0.427962624,0.373979448,0.981845059,0.541648084,0.521364072,0.954866725,0.674465273,0.778487211,0.918094886,0.842547058,0.928525178,0.861181688,0.893586425,0.617778191
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.1, 0.5, 5)",0.272254932,0.999722825,0.427962624,0.373979448,0.981845059,0.541648084,0.521364072,0.954866725,0.674465273,0.778487211,0.918094886,0.842547058,0.928525178,0.861181688,0.893586425,0.617778191
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.1, 0.5, 50)",0.272254932,0.999722825,0.427962624,0.373979448,0.981845059,0.541648084,0.521364072,0.954866725,0.674465273,0.778487211,0.918094886,0.842547058,0.928525178,0.861181688,0.893586425,0.617778191
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.1, 1.0, 5)",0.272254932,0.999722825,0.427962624,0.373979448,0.981845059,0.541648084,0.521364072,0.954866725,0.674465273,0.778487211,0.918094886,0.842547058,0.928525178,0.861181688,0.893586425,0.617778191
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.1, 1.0, 50)",0.272254932,0.999722825,0.427962624,0.373979448,0.981845059,0.541648084,0.521364072,0.954866725,0.674465273,0.778487211,0.918094886,0.842547058,0.928525178,0.861181688,0.893586425,0.617778191
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.5, 0.1, 5)",0.776498595,0.919157389,0.841826913,0.806056648,0.91236661,0.855923205,0.838511188,0.90021712,0.868269209,0.850148888,0.896844828,0.872872783,0.895914809,0.878366517,0.887053884,0.107560353
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.5, 0.1, 50)",0.776498595,0.919157389,0.841826913,0.806056648,0.91236661,0.855923205,0.838511188,0.90021712,0.868269209,0.850148888,0.896844828,0.872872783,0.895914809,0.878366517,0.887053884,0.107560353
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.5, 0.5, 5)",0.776498595,0.919157389,0.841826913,0.806056648,0.91236661,0.855923205,0.838511188,0.90021712,0.868269209,0.850148888,0.896844828,0.872872783,0.895914809,0.878366517,0.887053884,0.107560353
